epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0206,1.88039,1.87431,1.33149,0.76515,0.67157,0.72658,0.36503,1.64346,1.21562,1.22407,0.000469982,0.000469982,0.000469982
2,25.5155,1.69672,1.14336,1.20913,0.73559,0.58942,0.66791,0.30004,1.913,1.44662,1.38895,0.000927579,0.000927579,0.000927579
3,36.6102,1.6806,1.13128,1.21393,0.69725,0.5171,0.60141,0.27445,2.05537,1.65995,1.489,0.00136631,0.00136631,0.00136631
4,47.6819,1.65255,1.06271,1.19434,0.76905,0.60146,0.68236,0.35129,1.72796,1.37294,1.31259,0.00134412,0.00134412,0.00134412
5,58.851,1.62785,1.0252,1.18641,0.83566,0.77696,0.84974,0.45796,1.52619,0.9066,1.17169,0.00131582,0.00131582,0.00131582
6,70.1232,1.56362,0.95055,1.15247,0.87843,0.73703,0.84218,0.46414,1.4785,0.96284,1.16098,0.00128753,0.00128753,0.00128753
7,81.4141,1.50943,0.91163,1.14325,0.87604,0.79523,0.8815,0.46611,1.49162,0.85247,1.15237,0.00125923,0.00125923,0.00125923
8,92.5785,1.5051,0.86824,1.13734,0.88223,0.73395,0.82698,0.45109,1.59423,0.95219,1.21409,0.00123094,0.00123094,0.00123094
9,103.728,1.49279,0.87007,1.11973,0.89784,0.8226,0.89733,0.50324,1.46367,0.79304,1.12342,0.00120265,0.00120265,0.00120265
10,114.93,1.45806,0.86451,1.10526,0.91315,0.864,0.92793,0.52305,1.44046,0.74953,1.11815,0.00117435,0.00117435,0.00117435
11,126.251,1.43659,0.81847,1.09966,0.92186,0.86088,0.91342,0.52838,1.36817,0.74176,1.08905,0.00114606,0.00114606,0.00114606
12,137.63,1.40889,0.80923,1.08833,0.89703,0.81543,0.89856,0.50154,1.46007,0.76116,1.13822,0.00111776,0.00111776,0.00111776
13,148.711,1.40636,0.7765,1.08554,0.92259,0.87852,0.93078,0.53982,1.34554,0.68459,1.09128,0.00108947,0.00108947,0.00108947
14,159.998,1.38828,0.77638,1.0835,0.91455,0.87127,0.92866,0.55262,1.34176,0.71454,1.08352,0.00106118,0.00106118,0.00106118
