epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.563,1.66641,1.79477,1.3513,0.83229,0.77494,0.84849,0.44848,1.52566,1.03856,1.31019,0.000469982,0.000469982,0.000469982
2,40.6413,1.57969,1.08563,1.28907,0.78931,0.74446,0.81835,0.41865,1.64621,1.19174,1.41758,0.000927579,0.000927579,0.000927579
3,59.4947,1.5756,1.06353,1.30131,0.84728,0.8274,0.88061,0.46065,1.56541,1.21158,1.34618,0.00136631,0.00136631,0.00136631
4,78.3961,1.57247,1.01897,1.28046,0.81063,0.72032,0.79252,0.40957,1.67841,1.11596,1.41073,0.00134412,0.00134412,0.00134412
5,97.1594,1.50044,0.94472,1.26665,0.85495,0.83981,0.89705,0.47447,1.51046,0.90761,1.29813,0.00131582,0.00131582,0.00131582
6,116.091,1.49512,0.89524,1.25639,0.88179,0.84009,0.89764,0.48621,1.50124,0.88946,1.28606,0.00128753,0.00128753,0.00128753
7,134.985,1.44663,0.8596,1.23412,0.87834,0.83243,0.89945,0.49135,1.52278,0.85336,1.31918,0.00125923,0.00125923,0.00125923
8,153.904,1.41776,0.83402,1.21945,0.88856,0.87074,0.91777,0.52526,1.44854,0.76155,1.26815,0.00123094,0.00123094,0.00123094
9,172.819,1.41689,0.81018,1.21221,0.88437,0.8691,0.92335,0.53426,1.40231,0.76109,1.22735,0.00120265,0.00120265,0.00120265
10,191.694,1.37017,0.80043,1.19427,0.90433,0.87649,0.92491,0.52076,1.39972,0.75864,1.23598,0.00117435,0.00117435,0.00117435
11,210.393,1.36812,0.77407,1.19678,0.89765,0.91444,0.94466,0.55134,1.38327,0.69911,1.2135,0.00114606,0.00114606,0.00114606
12,229.243,1.34599,0.75702,1.17772,0.89776,0.90011,0.93371,0.55177,1.40978,0.69448,1.23308,0.00111776,0.00111776,0.00111776
13,248.006,1.33641,0.72542,1.16718,0.92625,0.89968,0.94753,0.5827,1.29549,0.65452,1.17698,0.00108947,0.00108947,0.00108947
14,266.864,1.30192,0.72189,1.14661,0.90777,0.9067,0.94406,0.56039,1.32552,0.66706,1.1936,0.00106118,0.00106118,0.00106118
15,285.629,1.30904,0.71357,1.15109,0.907,0.90666,0.94324,0.56726,1.3245,0.66209,1.18317,0.00103288,0.00103288,0.00103288
16,304.381,1.25975,0.67689,1.13223,0.91144,0.91075,0.94642,0.57557,1.31948,0.6402,1.18752,0.00100459,0.00100459,0.00100459
17,323.17,1.24671,0.66901,1.12952,0.92184,0.92241,0.95312,0.58838,1.25909,0.64035,1.15733,0.000976293,0.000976293,0.000976293
18,342.01,1.24299,0.66766,1.12404,0.93766,0.91529,0.95916,0.58887,1.31576,0.62449,1.18323,0.000947999,0.000947999,0.000947999
19,360.935,1.21717,0.65757,1.12143,0.93283,0.92664,0.95447,0.59494,1.24959,0.60715,1.15126,0.000919704,0.000919704,0.000919704
20,379.842,1.21963,0.65295,1.1195,0.93077,0.91068,0.95895,0.59522,1.2698,0.60931,1.16196,0.00089141,0.00089141,0.00089141
21,398.77,1.20271,0.63624,1.10665,0.92016,0.92713,0.95706,0.60315,1.27031,0.59602,1.15465,0.000863116,0.000863116,0.000863116
22,417.758,1.16966,0.62547,1.09366,0.92246,0.93769,0.95888,0.61193,1.21314,0.57197,1.13271,0.000834822,0.000834822,0.000834822
23,436.674,1.15686,0.61609,1.0872,0.95011,0.9201,0.9602,0.61259,1.22942,0.58514,1.14695,0.000806528,0.000806528,0.000806528
24,455.68,1.15147,0.60368,1.09335,0.92536,0.90572,0.94748,0.5852,1.2664,0.59499,1.15705,0.000778233,0.000778233,0.000778233
25,474.472,1.13488,0.60338,1.07735,0.94165,0.92634,0.96099,0.6315,1.18303,0.55152,1.12045,0.000749939,0.000749939,0.000749939
26,493.35,1.13024,0.58675,1.08228,0.94123,0.92839,0.96105,0.608,1.24343,0.5701,1.13093,0.000721645,0.000721645,0.000721645
27,512.147,1.13179,0.58817,1.07465,0.94231,0.9311,0.96296,0.62913,1.18273,0.54625,1.12364,0.000693351,0.000693351,0.000693351
28,530.978,1.09206,0.56167,1.05934,0.94872,0.93065,0.96927,0.63783,1.15118,0.53442,1.10702,0.000665057,0.000665057,0.000665057
29,549.941,1.08137,0.55811,1.05366,0.93817,0.93728,0.96645,0.62698,1.19939,0.54486,1.12618,0.000636762,0.000636762,0.000636762
30,568.676,1.07676,0.55321,1.05761,0.94885,0.9439,0.9722,0.64894,1.13495,0.51649,1.10318,0.000608468,0.000608468,0.000608468
31,587.671,1.07867,0.55043,1.04678,0.95088,0.93713,0.9713,0.64031,1.14031,0.51793,1.10111,0.000580174,0.000580174,0.000580174
32,606.482,1.05535,0.5424,1.04234,0.9409,0.94809,0.97298,0.65236,1.11651,0.52258,1.09417,0.00055188,0.00055188,0.00055188
33,625.54,1.0364,0.535,1.03932,0.95113,0.94775,0.97147,0.6574,1.11245,0.51055,1.08658,0.000523586,0.000523586,0.000523586
34,644.458,1.02078,0.52657,1.02702,0.94239,0.9517,0.97365,0.66106,1.10484,0.50057,1.08301,0.000495291,0.000495291,0.000495291
35,663.433,1.01509,0.52245,1.02718,0.94742,0.94975,0.97045,0.65466,1.10681,0.4971,1.09059,0.000466997,0.000466997,0.000466997
36,682.169,1.00738,0.51543,1.01667,0.94901,0.94078,0.97279,0.66961,1.07737,0.49164,1.07319,0.000438703,0.000438703,0.000438703
37,701.159,1.00086,0.50605,1.02442,0.95038,0.95085,0.9748,0.67126,1.0802,0.48919,1.06918,0.000410409,0.000410409,0.000410409
38,720.081,0.97567,0.5005,1.0057,0.9524,0.95099,0.97561,0.6771,1.06071,0.47928,1.06729,0.000382115,0.000382115,0.000382115
39,739.034,0.96076,0.49093,1.00224,0.94858,0.94626,0.97549,0.67106,1.07527,0.48736,1.07452,0.00035382,0.00035382,0.00035382
40,757.78,0.95936,0.48621,0.99964,0.95408,0.96071,0.98115,0.69319,1.03349,0.47178,1.05228,0.000325526,0.000325526,0.000325526
41,778.396,0.93647,0.45499,1.01821,0.94918,0.9632,0.98165,0.68436,1.04304,0.46996,1.05282,0.000297232,0.000297232,0.000297232
42,797.055,0.90499,0.43942,1.00862,0.95426,0.95352,0.97866,0.69227,1.02684,0.46412,1.05002,0.000268938,0.000268938,0.000268938
43,815.706,0.90763,0.43976,1.00083,0.95258,0.95837,0.98029,0.69016,1.04333,0.46262,1.05659,0.000240644,0.000240644,0.000240644
44,835.26,0.9056,0.439,1.00163,0.95604,0.95352,0.97772,0.69857,1.01157,0.45671,1.04343,0.000212349,0.000212349,0.000212349
45,854.079,0.87966,0.42604,0.99037,0.9494,0.95797,0.97759,0.69718,1.01638,0.45778,1.0492,0.000184055,0.000184055,0.000184055
46,872.679,0.85661,0.41745,0.98656,0.95521,0.96379,0.98038,0.70713,0.98941,0.44487,1.0372,0.000155761,0.000155761,0.000155761
47,891.502,0.84781,0.4155,0.97395,0.95724,0.96476,0.98206,0.71378,0.97461,0.43815,1.02776,0.000127467,0.000127467,0.000127467
48,910.36,0.83787,0.40499,0.97451,0.96103,0.96777,0.98301,0.7177,0.9669,0.43553,1.02588,9.91726e-05,9.91726e-05,9.91726e-05
49,929.241,0.82538,0.39887,0.97044,0.96241,0.96045,0.98136,0.71838,0.96562,0.43279,1.02486,7.08784e-05,7.08784e-05,7.08784e-05
50,948.086,0.82913,0.4034,0.96822,0.95899,0.96858,0.98225,0.72189,0.95667,0.42714,1.02018,4.25842e-05,4.25842e-05,4.25842e-05
