epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6056,2.19098,2.89833,1.46572,0.98711,0.10593,0.48082,0.22227,1.82788,2.84101,1.2941,0.000469982,0.000469982,0.000469982
2,20.1934,1.85604,1.58837,1.25782,0.71773,0.62795,0.69243,0.32213,1.82105,1.40362,1.28357,0.000936947,0.000936947,0.000936947
3,28.5801,1.79461,1.43742,1.2323,0.73179,0.67354,0.73789,0.36777,1.68879,1.17116,1.24937,0.00139448,0.00139448,0.00139448
4,36.7073,1.76409,1.30089,1.21703,0.78461,0.72061,0.77349,0.36901,1.65872,1.0531,1.21045,0.00138656,0.00138656,0.00138656
5,45.0122,1.71781,1.20335,1.20682,0.77036,0.68759,0.77055,0.38481,1.66547,1.19176,1.23719,0.00137241,0.00137241,0.00137241
6,53.353,1.67987,1.12907,1.18625,0.82898,0.78401,0.83589,0.4152,1.6358,0.94886,1.1891,0.00135826,0.00135826,0.00135826
7,61.4449,1.62666,1.06498,1.16471,0.86165,0.79404,0.84832,0.44905,1.49892,0.90769,1.14949,0.00134412,0.00134412,0.00134412
8,69.8057,1.58948,1.00702,1.15628,0.85904,0.75937,0.81805,0.44906,1.50636,0.90305,1.15122,0.00132997,0.00132997,0.00132997
9,78.1073,1.60226,1.00607,1.15093,0.88465,0.7845,0.85662,0.46291,1.52012,0.87424,1.17026,0.00131582,0.00131582,0.00131582
10,86.2047,1.57818,0.99411,1.1418,0.86654,0.76455,0.84707,0.45367,1.50536,0.88353,1.14685,0.00130168,0.00130168,0.00130168
11,94.4293,1.54451,0.94262,1.13336,0.89349,0.7953,0.87388,0.46188,1.52084,0.85354,1.15226,0.00128753,0.00128753,0.00128753
12,102.697,1.52794,0.9289,1.12811,0.84901,0.78595,0.85428,0.45989,1.49677,0.87919,1.1438,0.00127338,0.00127338,0.00127338
13,110.867,1.52086,0.90741,1.1175,0.88144,0.80073,0.88335,0.49082,1.41739,0.80616,1.10914,0.00125923,0.00125923,0.00125923
14,119.108,1.52863,0.91832,1.11973,0.89895,0.79595,0.87948,0.48353,1.43602,0.80434,1.12301,0.00124509,0.00124509,0.00124509
15,127.643,1.50404,0.90739,1.1121,0.89798,0.82892,0.88801,0.49765,1.40066,0.78193,1.10917,0.00123094,0.00123094,0.00123094
16,136.024,1.47932,0.87323,1.10673,0.90338,0.8193,0.89057,0.50703,1.3833,0.77413,1.09207,0.00121679,0.00121679,0.00121679
17,144.175,1.4726,0.86288,1.10289,0.91421,0.82827,0.90899,0.50779,1.41318,0.76758,1.11756,0.00120265,0.00120265,0.00120265
