epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6879,1.98767,2.17108,1.38738,0.75279,0.66369,0.69685,0.36243,1.63573,1.13957,1.19911,0.000469982,0.000469982,0.000469982
2,20.6534,1.71867,1.1864,1.20599,0.81378,0.64731,0.73429,0.3731,1.68559,1.16282,1.24695,0.000936947,0.000936947,0.000936947
3,29.4505,1.67805,1.10121,1.20148,0.77212,0.66713,0.73037,0.38849,1.60192,1.13438,1.20334,0.00139448,0.00139448,0.00139448
4,38.2448,1.65584,1.08052,1.1805,0.83116,0.72768,0.80021,0.42179,1.62571,1.01656,1.24132,0.00138656,0.00138656,0.00138656
5,46.8595,1.62581,1.01914,1.17586,0.83622,0.73213,0.83265,0.4307,1.58459,0.92728,1.19715,0.00137241,0.00137241,0.00137241
6,55.5118,1.61,0.98428,1.16229,0.86492,0.77953,0.84861,0.44933,1.51792,0.92849,1.17233,0.00135826,0.00135826,0.00135826
7,64.2536,1.5677,0.95657,1.15929,0.87508,0.78012,0.85443,0.46686,1.48194,0.83679,1.14506,0.00134412,0.00134412,0.00134412
8,72.9022,1.54218,0.91129,1.14613,0.86577,0.76342,0.84188,0.44256,1.5439,0.8633,1.1606,0.00132997,0.00132997,0.00132997
9,81.4448,1.52417,0.88884,1.13316,0.88316,0.82318,0.87794,0.49322,1.43272,0.7769,1.12329,0.00131582,0.00131582,0.00131582
10,90.1226,1.49817,0.88449,1.1209,0.89295,0.79202,0.87917,0.49013,1.44207,0.79036,1.12017,0.00130168,0.00130168,0.00130168
11,98.6435,1.47199,0.85091,1.11332,0.88601,0.78872,0.86781,0.48219,1.46928,0.78369,1.1405,0.00128753,0.00128753,0.00128753
12,107.255,1.45082,0.8434,1.1048,0.89878,0.83625,0.89724,0.5071,1.39152,0.74445,1.1086,0.00127338,0.00127338,0.00127338
13,115.92,1.45198,0.82353,1.10653,0.91004,0.84972,0.89115,0.51059,1.36399,0.76125,1.10778,0.00125923,0.00125923,0.00125923
14,124.686,1.45688,0.83284,1.08787,0.90976,0.83253,0.89715,0.50721,1.37681,0.71933,1.09703,0.00124509,0.00124509,0.00124509
15,133.341,1.4327,0.81314,1.08669,0.89863,0.8391,0.89268,0.50896,1.39682,0.72506,1.11653,0.00123094,0.00123094,0.00123094
16,141.931,1.43374,0.79665,1.09062,0.90442,0.82733,0.88944,0.50014,1.40075,0.73002,1.12035,0.00121679,0.00121679,0.00121679
17,150.502,1.40181,0.7801,1.07764,0.92161,0.84703,0.90776,0.52748,1.3919,0.70344,1.10048,0.00120265,0.00120265,0.00120265
18,159.273,1.39615,0.77321,1.07396,0.90929,0.843,0.89943,0.5356,1.34861,0.69231,1.0943,0.0011885,0.0011885,0.0011885
19,167.862,1.3813,0.78499,1.07862,0.90336,0.86374,0.91187,0.53123,1.36283,0.69939,1.09315,0.00117435,0.00117435,0.00117435
20,176.491,1.37281,0.76854,1.06825,0.87311,0.83949,0.87933,0.49179,1.42654,0.74922,1.11459,0.00116021,0.00116021,0.00116021
21,185.112,1.36886,0.75992,1.06972,0.92282,0.84558,0.92328,0.5494,1.31677,0.67708,1.08123,0.00114606,0.00114606,0.00114606
22,193.873,1.33205,0.74203,1.05746,0.91494,0.8559,0.91344,0.548,1.30847,0.65447,1.08382,0.00113191,0.00113191,0.00113191
23,202.531,1.33184,0.73293,1.05692,0.92098,0.8609,0.92599,0.56124,1.33187,0.67157,1.09235,0.00111776,0.00111776,0.00111776
24,211.108,1.34836,0.74695,1.06025,0.92548,0.88621,0.92957,0.56131,1.30637,0.65545,1.06919,0.00110362,0.00110362,0.00110362
25,219.808,1.32387,0.71891,1.04926,0.93731,0.86133,0.92924,0.56228,1.2989,0.63921,1.07789,0.00108947,0.00108947,0.00108947
26,228.588,1.30752,0.71929,1.05393,0.93087,0.85587,0.92485,0.56724,1.30905,0.65113,1.08422,0.00107532,0.00107532,0.00107532
27,237.447,1.31886,0.72108,1.04953,0.92556,0.88202,0.93246,0.56623,1.27808,0.63856,1.06402,0.00106118,0.00106118,0.00106118
28,246.02,1.28104,0.69525,1.03715,0.92561,0.86483,0.9186,0.56217,1.28275,0.63198,1.06591,0.00104703,0.00104703,0.00104703
29,254.837,1.28305,0.69157,1.04457,0.92854,0.87608,0.92197,0.56076,1.25887,0.64575,1.05807,0.00103288,0.00103288,0.00103288
30,263.462,1.27272,0.69521,1.03482,0.93357,0.87628,0.93012,0.5765,1.24259,0.62346,1.05296,0.00101873,0.00101873,0.00101873
31,272.175,1.27225,0.68602,1.03037,0.92948,0.86676,0.92513,0.55413,1.29096,0.64805,1.07926,0.00100459,0.00100459,0.00100459
32,280.916,1.26541,0.68007,1.02714,0.93845,0.88057,0.93197,0.57177,1.26593,0.6165,1.05189,0.00099044,0.00099044,0.00099044
33,289.55,1.2602,0.68503,1.02937,0.92863,0.8946,0.9378,0.57903,1.23699,0.62716,1.04455,0.000976293,0.000976293,0.000976293
34,298.168,1.21343,0.65542,1.0135,0.93325,0.87619,0.93401,0.57138,1.242,0.61799,1.0547,0.000962146,0.000962146,0.000962146
35,306.832,1.24939,0.66401,1.01785,0.94113,0.87848,0.93653,0.58732,1.25538,0.60978,1.06207,0.000947999,0.000947999,0.000947999
36,315.494,1.22788,0.65857,1.01812,0.93499,0.88221,0.93697,0.58728,1.23848,0.6056,1.05035,0.000933851,0.000933851,0.000933851
37,324.271,1.22786,0.66218,1.01305,0.94745,0.89685,0.94906,0.58576,1.2379,0.60194,1.04609,0.000919704,0.000919704,0.000919704
38,332.932,1.20684,0.64423,1.00032,0.93096,0.90062,0.93996,0.58523,1.22557,0.60193,1.04444,0.000905557,0.000905557,0.000905557
39,341.517,1.18037,0.63337,1.00425,0.93415,0.88487,0.9452,0.58435,1.22527,0.59774,1.04991,0.00089141,0.00089141,0.00089141
