epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9348,2.1588,2.72351,1.43465,0.98884,0.13866,0.55106,0.27239,1.77637,2.52665,1.22092,0.000469982,0.000469982,0.000469982
2,18.9853,1.82628,1.55525,1.24414,0.74032,0.4999,0.57274,0.26937,1.83067,1.70949,1.31191,0.000927579,0.000927579,0.000927579
3,26.9985,1.75568,1.36251,1.22866,0.7727,0.67168,0.71724,0.3558,1.65209,1.11985,1.20679,0.00136631,0.00136631,0.00136631
4,34.8686,1.7325,1.26162,1.20378,0.753,0.72149,0.77715,0.3816,1.61594,1.0459,1.17794,0.00134412,0.00134412,0.00134412
5,42.5132,1.64611,1.1313,1.17284,0.79571,0.70516,0.77027,0.37077,1.64879,1.05724,1.19596,0.00131582,0.00131582,0.00131582
6,50.3479,1.63431,1.05719,1.16612,0.82589,0.71687,0.80462,0.40795,1.60056,0.97859,1.1656,0.00128753,0.00128753,0.00128753
7,58.0257,1.60744,1.01306,1.15697,0.84008,0.72579,0.81714,0.42124,1.58136,0.95084,1.16572,0.00125923,0.00125923,0.00125923
8,65.7528,1.55247,0.97778,1.14074,0.87186,0.73166,0.83974,0.44864,1.49849,0.86257,1.13089,0.00123094,0.00123094,0.00123094
9,73.7534,1.51795,0.94115,1.12129,0.86384,0.78937,0.86409,0.46607,1.47647,0.84166,1.12262,0.00120265,0.00120265,0.00120265
10,81.5082,1.54196,0.94404,1.12439,0.85321,0.75455,0.83692,0.4516,1.46134,0.87926,1.11908,0.00117435,0.00117435,0.00117435
11,89.1785,1.49255,0.89692,1.10899,0.85155,0.75535,0.83885,0.44096,1.51297,0.87505,1.13773,0.00114606,0.00114606,0.00114606
12,96.9802,1.50286,0.89354,1.11359,0.87399,0.78841,0.86462,0.46914,1.47138,0.81667,1.11381,0.00111776,0.00111776,0.00111776
13,104.632,1.47319,0.86319,1.10481,0.89844,0.81118,0.88559,0.49107,1.43408,0.7767,1.10101,0.00108947,0.00108947,0.00108947
14,112.349,1.4625,0.86129,1.09124,0.88123,0.80997,0.88723,0.49356,1.45847,0.81363,1.09682,0.00106118,0.00106118,0.00106118
15,120.278,1.47785,0.85402,1.09382,0.90062,0.84516,0.9041,0.50695,1.41721,0.77342,1.08511,0.00103288,0.00103288,0.00103288
16,128.015,1.43607,0.82843,1.08502,0.86997,0.84903,0.89423,0.48912,1.42644,0.75142,1.10529,0.00100459,0.00100459,0.00100459
17,135.662,1.41266,0.8228,1.07491,0.89395,0.83234,0.8965,0.50923,1.41342,0.74286,1.08723,0.000976293,0.000976293,0.000976293
18,143.443,1.39561,0.79935,1.07323,0.90404,0.83705,0.90394,0.5037,1.44575,0.75216,1.1,0.000947999,0.000947999,0.000947999
19,151.177,1.3867,0.78649,1.07246,0.91032,0.84672,0.91504,0.52157,1.3766,0.71854,1.07555,0.000919704,0.000919704,0.000919704
20,158.887,1.40163,0.79264,1.06664,0.89137,0.84635,0.9087,0.51813,1.41192,0.71323,1.08459,0.00089141,0.00089141,0.00089141
21,166.721,1.36475,0.7733,1.06485,0.91196,0.87817,0.91668,0.52746,1.35981,0.70106,1.07152,0.000863116,0.000863116,0.000863116
22,174.272,1.34705,0.76301,1.05817,0.89767,0.84731,0.90557,0.52684,1.35559,0.70153,1.06412,0.000834822,0.000834822,0.000834822
23,182.04,1.33363,0.75255,1.04901,0.89975,0.86273,0.92201,0.53251,1.35893,0.70052,1.06627,0.000806528,0.000806528,0.000806528
24,189.877,1.33679,0.74477,1.05119,0.90093,0.84411,0.91057,0.52556,1.36311,0.68747,1.07666,0.000778233,0.000778233,0.000778233
25,197.399,1.31791,0.73312,1.04115,0.89532,0.86709,0.91713,0.53563,1.34322,0.68619,1.06979,0.000749939,0.000749939,0.000749939
26,205.186,1.31024,0.72295,1.04823,0.911,0.86058,0.91957,0.54471,1.31696,0.66364,1.06149,0.000721645,0.000721645,0.000721645
27,213.029,1.30584,0.72257,1.04324,0.90579,0.8692,0.92486,0.5539,1.3115,0.66264,1.05709,0.000693351,0.000693351,0.000693351
28,220.735,1.28919,0.70689,1.0354,0.92562,0.87178,0.93157,0.56396,1.28565,0.65251,1.04618,0.000665057,0.000665057,0.000665057
29,228.558,1.29294,0.70657,1.03382,0.91306,0.86305,0.9212,0.5341,1.35747,0.6712,1.06668,0.000636762,0.000636762,0.000636762
30,236.232,1.27921,0.69486,1.03121,0.91827,0.90158,0.93566,0.56089,1.28313,0.63363,1.04528,0.000608468,0.000608468,0.000608468
31,244.043,1.26461,0.69182,1.02179,0.90908,0.8831,0.91686,0.54221,1.28315,0.69249,1.04753,0.000580174,0.000580174,0.000580174
32,251.936,1.25703,0.68394,1.02438,0.90941,0.8965,0.93441,0.56539,1.28323,0.63086,1.05081,0.00055188,0.00055188,0.00055188
33,259.731,1.2411,0.67848,1.02195,0.91649,0.87637,0.93343,0.55407,1.29989,0.64631,1.04991,0.000523586,0.000523586,0.000523586
34,267.598,1.2453,0.67335,1.01882,0.9338,0.87746,0.9339,0.56669,1.26754,0.62052,1.03834,0.000495291,0.000495291,0.000495291
35,275.455,1.23573,0.65981,1.00952,0.91251,0.88804,0.93391,0.56678,1.252,0.61718,1.03406,0.000466997,0.000466997,0.000466997
36,283.263,1.21458,0.64803,1.00375,0.9317,0.88528,0.93874,0.5749,1.25651,0.6147,1.03447,0.000438703,0.000438703,0.000438703
37,291.065,1.22167,0.66093,1.00649,0.93359,0.8817,0.93487,0.57003,1.24624,0.61978,1.03543,0.000410409,0.000410409,0.000410409
38,298.809,1.19991,0.64345,0.99888,0.91888,0.90252,0.94296,0.58224,1.22456,0.59703,1.02806,0.000382115,0.000382115,0.000382115
39,306.736,1.18729,0.63935,1.00174,0.92831,0.8983,0.93632,0.57836,1.24167,0.59785,1.02807,0.00035382,0.00035382,0.00035382
40,314.468,1.17646,0.63583,0.9921,0.92515,0.89858,0.94184,0.59118,1.21039,0.59175,1.02478,0.000325526,0.000325526,0.000325526
41,323.495,1.14771,0.5874,1.00353,0.92859,0.89678,0.93903,0.58007,1.19619,0.58336,1.01975,0.000297232,0.000297232,0.000297232
42,331.234,1.11438,0.57328,0.99433,0.93724,0.88727,0.93626,0.5774,1.21119,0.59386,1.025,0.000268938,0.000268938,0.000268938
43,338.905,1.1146,0.56916,0.99067,0.93413,0.90025,0.94494,0.59513,1.1874,0.57844,1.01531,0.000240644,0.000240644,0.000240644
