epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.4237,1.90902,1.96833,1.35264,0.66593,0.5613,0.63235,0.32636,1.64592,1.33899,1.22204,0.000469982,0.000469982,0.000469982
2,18.2101,1.64659,1.09664,1.18456,0.78266,0.70264,0.75135,0.3987,1.56338,1.03958,1.15956,0.000927579,0.000927579,0.000927579
3,27.5084,1.63699,1.05844,1.18237,0.8235,0.6635,0.7525,0.3624,1.68223,1.05123,1.21782,0.00136631,0.00136631,0.00136631
4,35.8517,1.62525,1.03138,1.16855,0.83087,0.68936,0.7717,0.37931,1.60944,0.98433,1.19292,0.00134412,0.00134412,0.00134412
5,44.2841,1.55143,0.94483,1.14191,0.85378,0.73851,0.80522,0.42497,1.53072,0.89329,1.16358,0.00131582,0.00131582,0.00131582
6,52.6959,1.52408,0.90161,1.1272,0.86698,0.77631,0.84747,0.45103,1.52554,0.81572,1.13539,0.00128753,0.00128753,0.00128753
7,61.1074,1.50951,0.87593,1.12529,0.88704,0.8048,0.8671,0.46874,1.45938,0.7788,1.12219,0.00125923,0.00125923,0.00125923
8,69.6155,1.45977,0.85543,1.11408,0.90487,0.81551,0.88601,0.48686,1.41358,0.80844,1.10238,0.00123094,0.00123094,0.00123094
9,78.1528,1.44399,0.83082,1.0939,0.90168,0.78695,0.87217,0.48331,1.45205,0.76088,1.1145,0.00120265,0.00120265,0.00120265
10,86.4042,1.4323,0.82851,1.09132,0.89855,0.77133,0.85827,0.48333,1.39384,0.76138,1.09393,0.00117435,0.00117435,0.00117435
11,94.7624,1.3998,0.7793,1.08116,0.90715,0.80597,0.86703,0.48227,1.40889,0.73759,1.10909,0.00114606,0.00114606,0.00114606
12,103.205,1.38266,0.76284,1.0743,0.91448,0.82004,0.89151,0.51042,1.37841,0.71382,1.08633,0.00111776,0.00111776,0.00111776
13,111.563,1.39278,0.755,1.08164,0.89696,0.83188,0.88355,0.50457,1.3686,0.72106,1.07896,0.00108947,0.00108947,0.00108947
14,120.018,1.35119,0.74534,1.05858,0.90796,0.84857,0.91388,0.53752,1.33913,0.68701,1.06687,0.00106118,0.00106118,0.00106118
15,128.442,1.35821,0.75365,1.06102,0.88904,0.85825,0.90715,0.5406,1.30454,0.66732,1.06854,0.00103288,0.00103288,0.00103288
16,137.073,1.31952,0.71874,1.0514,0.91772,0.84394,0.91479,0.53113,1.33619,0.67421,1.07489,0.00100459,0.00100459,0.00100459
17,145.433,1.31205,0.7162,1.0443,0.91676,0.8595,0.91837,0.54373,1.31309,0.67118,1.06713,0.000976293,0.000976293,0.000976293
18,154,1.28406,0.69485,1.04049,0.91783,0.87299,0.92481,0.54574,1.32046,0.64592,1.06634,0.000947999,0.000947999,0.000947999
19,162.489,1.2766,0.68546,1.03955,0.91505,0.84156,0.91282,0.54775,1.27362,0.64603,1.04769,0.000919704,0.000919704,0.000919704
20,170.81,1.27171,0.6858,1.02934,0.91813,0.88934,0.93277,0.55519,1.31112,0.63303,1.05926,0.00089141,0.00089141,0.00089141
21,179.287,1.26171,0.67903,1.03471,0.91834,0.86924,0.92388,0.55548,1.29499,0.62643,1.05442,0.000863116,0.000863116,0.000863116
22,187.573,1.22958,0.66749,1.02019,0.92318,0.88709,0.9337,0.57027,1.26414,0.61382,1.04303,0.000834822,0.000834822,0.000834822
23,195.87,1.21348,0.65385,1.01336,0.90842,0.87179,0.92654,0.56467,1.25366,0.62292,1.03465,0.000806528,0.000806528,0.000806528
24,204.165,1.22286,0.6515,1.01616,0.91919,0.88998,0.93491,0.57299,1.26512,0.61669,1.03965,0.000778233,0.000778233,0.000778233
25,212.695,1.19471,0.62925,1.00093,0.92873,0.86813,0.93358,0.58273,1.23062,0.60351,1.04144,0.000749939,0.000749939,0.000749939
26,221.035,1.17734,0.62202,1.00914,0.93211,0.88975,0.94247,0.57903,1.22392,0.59359,1.03069,0.000721645,0.000721645,0.000721645
27,229.369,1.18448,0.63294,1.00239,0.9323,0.88773,0.93552,0.58599,1.20896,0.58403,1.02197,0.000693351,0.000693351,0.000693351
28,238.001,1.15225,0.60911,0.99403,0.92277,0.90247,0.94535,0.59179,1.21315,0.58711,1.02662,0.000665057,0.000665057,0.000665057
29,246.431,1.16812,0.61375,0.99648,0.92907,0.88997,0.94402,0.60162,1.19719,0.5829,1.01616,0.000636762,0.000636762,0.000636762
30,254.989,1.15154,0.60533,0.99374,0.92351,0.89643,0.94091,0.59536,1.21152,0.5894,1.02609,0.000608468,0.000608468,0.000608468
31,263.439,1.1282,0.59596,0.9805,0.92834,0.91142,0.94499,0.59966,1.18443,0.56297,1.01834,0.000580174,0.000580174,0.000580174
32,271.726,1.12382,0.59427,0.98422,0.93363,0.9091,0.94617,0.5994,1.20489,0.56123,1.02513,0.00055188,0.00055188,0.00055188
33,280.202,1.1016,0.58196,0.98191,0.92681,0.91264,0.94962,0.60422,1.17274,0.56126,1.01136,0.000523586,0.000523586,0.000523586
34,288.687,1.10583,0.58071,0.9811,0.92337,0.90367,0.94376,0.60599,1.16745,0.55658,1.01375,0.000495291,0.000495291,0.000495291
35,297.089,1.10233,0.57244,0.97113,0.93583,0.89727,0.94388,0.60563,1.16132,0.55393,1.00748,0.000466997,0.000466997,0.000466997
36,305.285,1.08367,0.56749,0.9669,0.93301,0.92443,0.95426,0.62152,1.14006,0.54807,0.9991,0.000438703,0.000438703,0.000438703
37,313.757,1.08419,0.56788,0.9692,0.93257,0.91466,0.94834,0.61479,1.13071,0.54231,1.00139,0.000410409,0.000410409,0.000410409
38,322.037,1.05501,0.54953,0.95695,0.95135,0.90606,0.95537,0.62154,1.12548,0.53465,0.99835,0.000382115,0.000382115,0.000382115
39,330.418,1.0464,0.5441,0.95827,0.93362,0.92229,0.9531,0.62397,1.1196,0.52237,0.99659,0.00035382,0.00035382,0.00035382
40,339.142,1.02769,0.53755,0.94968,0.928,0.92346,0.95679,0.63416,1.10798,0.52958,0.99227,0.000325526,0.000325526,0.000325526
41,348.789,1.00105,0.50168,0.95612,0.93309,0.91555,0.95787,0.62918,1.11496,0.52735,0.99851,0.000297232,0.000297232,0.000297232
42,356.962,0.98726,0.49075,0.95624,0.93085,0.91996,0.95648,0.62892,1.10516,0.52055,0.9925,0.000268938,0.000268938,0.000268938
43,365.115,0.96758,0.48463,0.94603,0.93677,0.92534,0.95757,0.63182,1.10173,0.52071,0.98989,0.000240644,0.000240644,0.000240644
44,373.317,0.97308,0.48723,0.94715,0.93754,0.92816,0.96016,0.63479,1.08595,0.51161,0.98465,0.000212349,0.000212349,0.000212349
45,381.611,0.94781,0.47545,0.9405,0.94232,0.92927,0.95746,0.63774,1.08365,0.50578,0.98499,0.000184055,0.000184055,0.000184055
