epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9963,1.63169,1.94028,1.34497,0.63009,0.70709,0.7296,0.37168,1.64471,5.28502,1.4323,0.000470729,0.000470729,0.000470729
2,62.1506,1.59637,1.11338,1.31327,0.56381,0.76069,0.56148,0.29035,1.69061,5.46971,1.4533,0.000937687,0.000937687,0.000937687
3,91.8932,1.60831,1.09144,1.31601,0.68951,0.59029,0.68614,0.36921,1.64608,2.14041,1.38643,0.00139521,0.00139521,0.00139521
4,121.405,1.54254,0.97836,1.29059,0.86841,0.68974,0.80387,0.42178,1.72262,1.21067,1.40783,0.00138656,0.00138656,0.00138656
5,151.207,1.51438,0.9396,1.27168,0.79995,0.78368,0.83784,0.45156,1.63142,1.11724,1.30942,0.00137241,0.00137241,0.00137241
6,181.004,1.44229,0.84605,1.2296,0.87423,0.82784,0.89147,0.49057,1.55727,0.89115,1.29624,0.00135826,0.00135826,0.00135826
7,210.833,1.39807,0.82412,1.2245,0.90438,0.89432,0.91424,0.52836,1.48283,0.82309,1.2713,0.00134412,0.00134412,0.00134412
8,240.576,1.37256,0.79284,1.19708,0.88149,0.86642,0.91223,0.52208,1.49618,0.82464,1.27566,0.00132997,0.00132997,0.00132997
9,270.08,1.34654,0.77266,1.18152,0.91075,0.89339,0.92362,0.5142,1.50251,0.84058,1.28225,0.00131582,0.00131582,0.00131582
10,299.522,1.33052,0.73701,1.18375,0.91025,0.839,0.91585,0.54971,1.44544,0.777,1.25308,0.00130168,0.00130168,0.00130168
11,329.353,1.28702,0.71341,1.15993,0.8721,0.86255,0.89842,0.5044,1.50925,0.86186,1.28857,0.00128753,0.00128753,0.00128753
12,358.792,1.30044,0.71251,1.15835,0.90202,0.88915,0.92829,0.54162,1.48479,0.74439,1.25348,0.00127338,0.00127338,0.00127338
13,388.27,1.25364,0.68167,1.12882,0.92356,0.9026,0.93488,0.55611,1.45521,0.71024,1.2416,0.00125923,0.00125923,0.00125923
14,418.007,1.22122,0.65806,1.11694,0.91505,0.89731,0.92733,0.53274,1.52869,0.73382,1.28611,0.00124509,0.00124509,0.00124509
15,447.518,1.24284,0.65649,1.1304,0.90933,0.91406,0.93388,0.57047,1.43113,0.71492,1.23645,0.00123094,0.00123094,0.00123094
16,477.356,1.18664,0.63779,1.11291,0.91355,0.87841,0.92781,0.56783,1.46398,0.73408,1.27646,0.00121679,0.00121679,0.00121679
17,506.839,1.18733,0.6371,1.10696,0.91804,0.89251,0.92388,0.55526,1.45733,0.72879,1.29044,0.00120265,0.00120265,0.00120265
18,536.316,1.16025,0.62336,1.08717,0.9188,0.90015,0.93661,0.56459,1.45979,0.69023,1.26512,0.0011885,0.0011885,0.0011885
19,565.83,1.17165,0.61948,1.09803,0.92765,0.9124,0.93932,0.57166,1.40757,0.66463,1.22548,0.00117435,0.00117435,0.00117435
20,595.659,1.13176,0.59798,1.07802,0.93165,0.905,0.94629,0.58523,1.43059,0.66823,1.26268,0.00116021,0.00116021,0.00116021
21,625.408,1.0948,0.57825,1.06419,0.93726,0.88964,0.93861,0.5726,1.49026,0.69199,1.29212,0.00114606,0.00114606,0.00114606
22,654.839,1.0908,0.56336,1.05624,0.91412,0.90302,0.94201,0.56128,1.42723,0.70205,1.27002,0.00113191,0.00113191,0.00113191
23,684.311,1.09056,0.56357,1.07343,0.94566,0.89825,0.93963,0.57213,1.46633,0.64514,1.31815,0.00111776,0.00111776,0.00111776
24,713.796,1.05092,0.5462,1.04385,0.91813,0.8861,0.9395,0.57649,1.44733,0.67999,1.25418,0.00110362,0.00110362,0.00110362
25,743.261,1.04632,0.54832,1.03511,0.95103,0.91688,0.94887,0.58444,1.41668,0.64368,1.26622,0.00108947,0.00108947,0.00108947
26,772.729,1.03133,0.54011,1.0404,0.91805,0.92009,0.95137,0.58435,1.42697,0.64383,1.26236,0.00107532,0.00107532,0.00107532
27,802.212,1.03416,0.5398,1.03174,0.92055,0.91981,0.94124,0.57327,1.42863,0.65664,1.27073,0.00106118,0.00106118,0.00106118
28,831.716,1.00191,0.51897,1.02438,0.92787,0.88459,0.93924,0.56994,1.49502,0.68269,1.35264,0.00104703,0.00104703,0.00104703
29,861.148,0.999,0.52894,1.02734,0.93803,0.91204,0.9515,0.58264,1.40856,0.62467,1.30792,0.00103288,0.00103288,0.00103288
30,890.638,0.96177,0.50178,1.00431,0.95014,0.92819,0.95611,0.58373,1.44863,0.65703,1.31285,0.00101873,0.00101873,0.00101873
31,920.078,0.97617,0.50182,1.00897,0.94275,0.92632,0.95749,0.58419,1.40519,0.61507,1.29972,0.00100459,0.00100459,0.00100459
